Time,East(m),North(m),Up(m),ZTD(m),Mode,ModeName,Horizontal2D(m)
0.2614583333333333,0.026155425859242222,-0.02916242346290908,0.1378277260818721,-0.417386021076629,1,fix,0.0391733741731338
0.2618055555555555,0.02598482966229799,-0.02906956404593114,0.13616630282539366,-0.4100909196203751,1,fix,0.038990395309603285
0.2621527777777778,0.026395323611404307,-0.029117467936490813,0.13443564678326814,-0.4024523043728968,1,fix,0.039300636732543255
0.2625,0.026428706981963448,-0.029083122808105065,0.13536045600169477,-0.3947899938015698,1,fix,0.03929764095985667
0.2628472222222222,0.0263675820702785,-0.029025202185591664,0.13203188153444284,-0.3874435046190828,1,fix,0.039213667848689536
0.2631944444444444,0.02623422039355458,-0.029305058349809343,0.12746982137694224,-0.3801037145219149,1,fix,0.0393321848432467
0.2635416666666667,0.026294208829229417,-0.029164524416696824,0.1295422409275143,-0.3732635200565559,1,fix,0.03926773360415942
0.2638888888888889,0.02628218216564306,-0.028875135051555978,0.12859665374116924,-0.3679591707698754,1,fix,0.03904518566524742
0.2642361111111111,0.026276975188948188,-0.02880207129412001,0.12718314123373267,-0.3599662905056067,1,fix,0.038987674153662596
0.2645833333333333,0.02671870166548477,-0.028731197423067647,0.1252919318779379,-0.3523682502677804,1,fix,0.03923481520349583
0.2649305555555555,0.026654683332913178,-0.029033429543622345,0.12528886194516484,-0.3460585185973798,1,fix,0.039413350208303305
0.2652777777777778,0.026865448726054782,-0.0288371332718613,0.12416526102077487,-0.3389025093819067,1,fix,0.039412340587579524
0.265625,0.026803583481817272,-0.029093110882684944,0.12176399990201453,-0.3322543082661538,1,fix,0.0395580736171385
0.2659722222222222,0.02669140883046225,-0.029027585865778926,0.11957501605785972,-0.3268395510110283,1,fix,0.039433894640905645
0.2663194444444444,0.027076487839697006,-0.02898332108148614,0.11854803049075131,-0.3195019213240403,1,fix,0.039663195719026205
0.2666666666666666,0.027028328204411464,-0.028794884914234445,0.1175469208387657,-0.3132750648608248,1,fix,0.03949273253080104
0.2670138888888889,0.027291711262461896,-0.028502283170062325,0.11601701724082773,-0.3069297668723312,1,fix,0.03946159714887384
0.2673611111111111,0.02735629722835856,-0.028780531433320374,0.116035964627219,-0.3000278164138296,1,fix,0.03970750543197898
0.2677083333333333,0.02719559956387337,-0.02902478400556081,0.11403778028218266,-0.3023420251286934,1,fix,0.03977485037316932
0.2680555555555555,0.027437994803350407,-0.029161376964978388,0.11390221992676157,-0.2948368583897948,1,fix,0.04004034796704764
0.2684027777777777,0.027523403311382682,-0.02908440487369657,0.11161312280674346,-0.286375810688358,1,fix,0.040042981116521985
0.26875,0.027624569293150682,-0.02901650056983479,0.10833829418952425,-0.2793910496501346,1,fix,0.04006337646718392
0.2690972222222222,0.027408137369144533,-0.02904211377704407,0.1083819076605292,-0.2724019006600874,1,fix,0.03993307359426106
0.2694444444444444,0.02747373072028129,-0.028960511636870297,0.10449197114473932,-0.2650264140107798,1,fix,0.039918881672209056
0.2697916666666666,0.027449014375090074,-0.028914505190459027,0.10497790593545539,-0.2579122410358075,1,fix,0.03986849634201149
0.2701388888888889,0.02729023363567173,-0.028832931373798477,0.10273733555597941,-0.2510009925668019,1,fix,0.03970006024549234
0.2704861111111111,0.027365182392368716,-0.028610240847972836,0.1002711387033783,-0.2433856617041451,1,fix,0.039590391368949866
0.2708333333333333,0.027497290110158445,-0.028488772010267713,0.10000777143425935,-0.236731748840629,1,fix,0.03959433158995401
0.2711805555555555,0.02721799361060894,-0.02873401172650627,0.09576073484116798,-0.2294829920958964,1,fix,0.039578562456033556
0.2715277777777777,0.028232639579791812,-0.02818716291534385,0.09311913485245595,-0.2433559361653593,1,fix,0.039894837897384204
0.271875,0.028463392098047664,-0.027957464567158283,0.09698373647114353,-0.2560307483353301,1,fix,0.039897174270255194
0.2722222222222222,0.028495792082674384,-0.027793489172229086,0.10018150789694599,-0.2679841426588533,1,fix,0.03980563034026498
0.2725694444444444,0.0287072579004492,-0.02774534501299444,0.10145512699944183,-0.2798093760827512,1,fix,0.03992381276948632
0.2729166666666666,0.028583145659725074,-0.027507510889595143,0.10258692195012761,-0.2888303367233812,1,fix,0.03966937573426453
0.2732638888888888,0.028677548628971417,-0.02770785427449031,0.10354813439803041,-0.2864563337586031,1,fix,0.03987639632493653
0.2736111111111111,0.02877246950393407,-0.027578274058540395,0.10600168775133764,-0.2932020862646869,1,fix,0.03985493948562434
0.2739583333333333,0.028442052772847826,-0.027547888887512282,0.10714766807983209,-0.2986672412626729,1,fix,0.03959591580065024
0.2743055555555556,0.02862198998350201,-0.027428380221557365,0.10743637449411306,-0.3038148948738963,1,fix,0.039642582562113796
0.2746527777777778,0.0285542487403573,-0.02722845014096634,0.10930502837126238,-0.3077522784304149,1,fix,0.03945546373070891
0.275,0.028553835182769716,-0.02731571739781685,0.10984911292925628,-0.3130378943728503,1,fix,0.03951543901568312
0.2753472222222222,0.02824422536605841,-0.027229885753959758,0.10908540150440516,-0.3154745164474413,1,fix,0.039232677001479234
0.2756944444444444,0.028225592824082376,-0.02707356670495985,0.10976978491661571,-0.3167620350371143,1,fix,0.03911089495778384
0.2760416666666667,0.02851531716982312,-0.02693594118669992,0.10855483389119375,-0.3175975310089353,1,fix,0.039225861888669396
0.2763888888888889,0.028439319523439137,-0.026805966663440095,0.10970851572932248,-0.3183621488981876,1,fix,0.03908138615399572
0.2767361111111111,0.028728249333777118,-0.026993822201357758,0.11059130514292173,-0.3185128535611018,1,fix,0.03942053711990973
0.2770833333333333,0.028682759779209758,-0.02654843942368933,0.1103533645821228,-0.3195045077376935,1,fix,0.039083504760770306
0.2774305555555555,0.028715959036324762,-0.026769248860018923,0.11083601383678303,-0.3194284015635855,1,fix,0.03925810728888374
0.2777777777777778,0.028740643028107426,-0.026461881040159386,0.11091943798060333,-0.3273343367348564,1,fix,0.03906732278839499
0.278125,0.028647659895211466,-0.02640506207170483,0.11196765072705513,-0.3263129815595434,1,fix,0.03896043788873904
0.2784722222222222,0.02858595871802993,-0.02604774094075351,0.11059409526445958,-0.3229722749476781,1,fix,0.03867352898230931
0.2788194444444444,0.02853306145107291,-0.02587163273981844,0.11130665154985885,-0.3197032698022216,1,fix,0.038515931462120304
0.2791666666666667,0.02845987944020325,-0.025595531293777354,0.10821917222750883,-0.3154094265376012,1,fix,0.038276571946317756
0.2795138888888889,0.028321537375148084,-0.025727010409234127,0.1082994377191151,-0.3109006267716213,1,fix,0.03826210323399318
0.2798611111111111,0.02842625474419238,-0.025409218449673622,0.10869656320965959,-0.3062116957072311,1,fix,0.03812716014870442
0.2802083333333333,0.028336049322953225,-0.025313570120253294,0.10646487069217068,-0.3006497971812766,5,float,0.03799616458888737
0.2805555555555555,0.028667697064741125,-0.02456411168866467,0.10548310316390143,-0.2945014941882599,1,fix,0.037752250767986786
0.2809027777777778,0.0285574432350473,-0.026200034522641063,0.10155822966350744,-0.2977604860708921,1,fix,0.038755249620026085
0.28125,0.028606371215546933,-0.026273129238916622,0.10050219803222835,-0.2993781655073184,1,fix,0.038840723398599154
0.2815972222222222,0.028513862854097072,-0.02573638556610656,0.09897443721479292,-0.3011084091486674,1,fix,0.03841096089490023
0.2819444444444444,0.029080281552553874,-0.02548778711608903,0.10277685333576611,-0.311562036362247,1,fix,0.03866898068543932
0.2822916666666666,0.029063063433624834,-0.025397523631534483,0.10190939714542423,-0.3197097837913842,1,fix,0.03859657838152566
0.2826388888888889,0.029130764594954315,-0.025223723044521362,0.10420272573527191,-0.3269449851751481,1,fix,0.038533591191496304
0.2829861111111111,0.028913203822352924,-0.025353577756817028,0.10544128069283906,-0.3334360756903285,1,fix,0.03845487303767743
0.2833333333333333,0.029019633179753892,-0.025183081188441175,0.10478328486169373,-0.338502688306081,1,fix,0.038422996864262066
0.2836805555555555,0.029063241931070186,-0.024956116249610805,0.10575345968722014,-0.3431854123433678,1,fix,0.0383076985710184
0.2840277777777777,0.029159951257470985,-0.024822618178262864,0.10768890078478953,-0.3463826841699249,1,fix,0.03829445299990469
0.284375,0.02947927926408273,-0.02473471564167409,0.10559211087246281,-0.3479085828519114,5,float,0.03848160682461499
0.2847222222222222,0.029466121608534176,-0.0242807745123714,0.10711485057141791,-0.3498265699557365,1,fix,0.03818125631209048
