LocationID,pickup_count,Borough,Zone,service_zone
52,1497,Brooklyn,Cobble Hill,Boro Zone
40,1459,Brooklyn,Carroll Gardens,Boro Zone
85,1439,Brooklyn,Erasmus,Boro Zone
213,1378,Bronx,Soundview/Castle Hill,Boro Zone
215,1354,Queens,South Jamaica,Boro Zone
159,1330,Bronx,Melrose South,Boro Zone
51,1318,Bronx,Co-Op City,Boro Zone
205,1309,Queens,Saint Albans,Boro Zone
55,1288,Brooklyn,Coney Island,Boro Zone
12,1237,Manhattan,Battery Park,Yellow Zone
254,1203,Bronx,Williamsbridge/Olinville,Boro Zone
235,1163,Bronx,University Heights/Morris Heights,Boro Zone
77,1161,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone
106,1155,Brooklyn,Gowanus,Boro Zone
182,1117,Bronx,Parkchester,Boro Zone
92,1020,Queens,Flushing,Boro Zone
222,1007,Brooklyn,Starrett City,Boro Zone
167,1001,Bronx,Morrisania/Melrose,Boro Zone
78,1001,Bronx,East Tremont,Boro Zone
219,966,Queens,Springfield Gardens South,Boro Zone
63,956,Brooklyn,Cypress Hills,Boro Zone
34,946,Brooklyn,Brooklyn Navy Yard,Boro Zone
169,931,Bronx,Mount Hope,Boro Zone
119,922,Bronx,Highbridge,Boro Zone
28,913,Queens,Briarwood/Jamaica Hills,Boro Zone
86,887,Queens,Far Rockaway,Boro Zone
56,882,Queens,Corona,Boro Zone
134,872,Queens,Kew Gardens,Boro Zone
218,872,Queens,Springfield Gardens North,Boro Zone
196,871,Queens,Rego Park,Boro Zone
18,865,Bronx,Bedford Park,Boro Zone
191,856,Queens,Queens Village,Boro Zone
258,853,Queens,Woodhaven,Boro Zone
210,845,Brooklyn,Sheepshead Bay,Boro Zone
165,798,Brooklyn,Midwood,Boro Zone
117,796,Queens,Hammels/Arverne,Boro Zone
83,794,Queens,Elmhurst/Maspeth,Boro Zone
47,791,Bronx,Claremont/Bathgate,Boro Zone
155,790,Brooklyn,Marine Park/Mill Basin,Boro Zone
220,775,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone
265,773,,Outside of NYC,
26,773,Brooklyn,Borough Park,Boro Zone
133,773,Brooklyn,Kensington,Boro Zone
241,725,Bronx,Van Cortlandt Village,Boro Zone
212,696,Bronx,Soundview/Bruckner,Boro Zone
259,680,Bronx,Woodlawn/Wakefield,Boro Zone
248,679,Bronx,West Farms/Bronx River,Boro Zone
174,675,Bronx,Norwood,Boro Zone
202,670,Manhattan,Roosevelt Island,Boro Zone
242,666,Bronx,Van Nest/Morris Park,Boro Zone
121,647,Queens,Hillcrest/Pomonok,Boro Zone
227,638,Brooklyn,Sunset Park East,Boro Zone
131,637,Queens,Jamaica Estates,Boro Zone
250,629,Bronx,Westchester Village/Unionport,Boro Zone
126,623,Bronx,Hunts Point,Boro Zone
81,610,Bronx,Eastchester,Boro Zone
217,607,Brooklyn,South Williamsburg,Boro Zone
160,591,Queens,Middle Village,Boro Zone
22,584,Brooklyn,Bensonhurst West,Boro Zone
123,582,Brooklyn,Homecrest,Boro Zone
136,564,Bronx,Kingsbridge Heights,Boro Zone
32,548,Bronx,Bronxdale,Boro Zone
60,547,Bronx,Crotona Park East,Boro Zone
29,547,Brooklyn,Brighton Beach,Boro Zone
208,544,Bronx,Schuylerville/Edgewater Park,Boro Zone
257,542,Brooklyn,Windsor Terrace,Boro Zone
147,533,Bronx,Longwood,Boro Zone
93,527,Queens,Flushing Meadows-Corona Park,Boro Zone
139,498,Queens,Laurelton,Boro Zone
102,478,Queens,Glendale,Boro Zone
108,470,Brooklyn,Gravesend,Boro Zone
135,469,Queens,Kew Gardens Hills,Boro Zone
200,464,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone
54,464,Brooklyn,Columbia Street,Boro Zone
173,463,Queens,North Corona,Boro Zone
20,461,Bronx,Belmont,Boro Zone
185,458,Bronx,Pelham Parkway,Boro Zone
124,453,Queens,Howard Beach,Boro Zone
149,444,Brooklyn,Madison,Boro Zone
21,433,Brooklyn,Bensonhurst East,Boro Zone
203,424,Queens,Rosedale,Boro Zone
180,408,Queens,Ozone Park,Boro Zone
94,401,Bronx,Fordham South,Boro Zone
38,379,Queens,Cambria Heights,Boro Zone
67,374,Brooklyn,Dyker Heights,Boro Zone
122,372,Queens,Hollis,Boro Zone
19,352,Queens,Bellerose,Boro Zone
3,346,Bronx,Allerton/Pelham Gardens,Boro Zone
150,318,Brooklyn,Manhattan Beach,Boro Zone
190,312,Brooklyn,Prospect Park,Boro Zone
53,267,Queens,College Point,Boro Zone
171,266,Queens,Murray Hill-Queens,Boro Zone
183,261,Bronx,Pelham Bay,Boro Zone
16,254,Queens,Bayside,Boro Zone
252,228,Queens,Whitestone,Boro Zone
192,226,Queens,Queensboro Hill,Boro Zone
101,226,Queens,Glen Oaks,Boro Zone
11,225,Brooklyn,Bath Beach,Boro Zone
201,216,Queens,Rockaway Park,Boro Zone
98,207,Queens,Fresh Meadows,Boro Zone
175,188,Queens,Oakland Gardens,Boro Zone
178,187,Brooklyn,Ocean Parkway South,Boro Zone
128,186,Manhattan,Inwood Hill Park,Boro Zone
194,181,Manhattan,Randalls Island,Yellow Zone
207,177,Queens,Saint Michaels Cemetery/Woodside,Boro Zone
153,168,Manhattan,Marble Hill,Boro Zone
15,156,Queens,Bay Terrace/Fort Totten,Boro Zone
9,151,Queens,Auburndale,Boro Zone
1,151,EWR,Newark Airport,EWR
73,133,Queens,East Flushing,Boro Zone
240,127,Bronx,Van Cortlandt Park,Boro Zone
64,123,Queens,Douglaston,Boro Zone
6,93,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
31,90,Bronx,Bronx Park,Boro Zone
46,81,Bronx,City Island,Boro Zone
120,71,Manhattan,Highbridge Park,Boro Zone
221,69,Staten Island,Stapleton,Boro Zone
57,57,Queens,Corona,Boro Zone
154,50,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone
96,44,Queens,Forest Park/Highland Park,Boro Zone
58,44,Bronx,Country Club,Boro Zone
8,43,Queens,Astoria Park,Boro Zone
214,41,Staten Island,South Beach/Dongan Hills,Boro Zone
115,33,Staten Island,Grymes Hill/Clifton,Boro Zone
184,27,Bronx,Pelham Bay Park,Boro Zone
111,27,Brooklyn,Green-Wood Cemetery,Boro Zone
118,22,Staten Island,Heartland Village/Todt Hill,Boro Zone
206,20,Staten Island,Saint George/New Brighton,Boro Zone
245,18,Staten Island,West Brighton,Boro Zone
172,15,Staten Island,New Dorp/Midland Beach,Boro Zone
23,14,Staten Island,Bloomfield/Emerson Hill,Boro Zone
59,14,Bronx,Crotona Park,Boro Zone
27,12,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
253,11,Queens,Willets Point,Boro Zone
176,8,Staten Island,Oakwood,Boro Zone
251,7,Staten Island,Westerleigh,Boro Zone
2,6,Queens,Jamaica Bay,Boro Zone
156,5,Staten Island,Mariners Harbor,Boro Zone
109,5,Staten Island,Great Kills,Boro Zone
30,4,Queens,Broad Channel,Boro Zone
187,3,Staten Island,Port Richmond,Boro Zone
204,2,Staten Island,Rossville/Woodrow,Boro Zone
84,2,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone
105,2,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
99,1,Staten Island,Freshkills Park,Boro Zone
5,1,Staten Island,Arden Heights,Boro Zone
44,1,Staten Island,Charleston/Tottenville,Boro Zone
