OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,internet_a,level,name,network,operator,public_tra,railway,railway_re,short_name,start_date,station,subway,wheelchair,wikidata,wikimedia_,wikipedia,FID_1,network_wi,operator_w,owner,owner_wiki,opening_ho,gtfs_stop_,source,note,platforms,internet_1,name_en,name_ko,name_ru,wheelcha_1,addr_city,addr_postc,addr_state,name_es,name_nl,name_pl,alt_name,image,descriptio,addr_stree,check_date,website,name_zh,name_zh_Ha,departures,departur_1,payment_om,addr_house,air_condit,old_name,payment__1,toilets_wh,name_pronu,check_da_1,name_lt,location,disused,disused_ra,toilets,toilets_ac,old_name_r,operator_s,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
36,6,35,36,0.087050786706300,Bushwick North,36,Brooklyn,node/591996968,,-2,Morgan Avenue,NYC Subway,New York City Transit Authority,station,station,125,Morgan Av,,subway,yes,no,Q2227502,,en:Morgan Avenue station,node/591996968,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26405.680208560814000,0.000247666139269,36,3318,Brooklyn,Bushwick North,Boro Zone,36,5275,Brooklyn,Bushwick North,Boro Zone
37,6,36,37,0.142810040466000,Bushwick South,37,Brooklyn,node/479847989,,-2,Montrose Avenue,NYC Subway,New York City Transit Authority,station,station,124,Montrose Av,,subway,yes,no,Q1873173,,en:Montrose Avenue station,node/479847989,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44368.076629166841000,0.000452062644782,37,5642,Brooklyn,Bushwick South,Boro Zone,37,8755,Brooklyn,Bushwick South,Boro Zone
38,0,37,38,0.083217568523400,Cambria Heights,38,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26168.273056324902000,0.000327392684821,38,379,Queens,Cambria Heights,Boro Zone,38,978,Queens,Cambria Heights,Boro Zone
39,1,38,39,0.132369620757000,Canarsie,39,Brooklyn,node/597937417,,0,Canarsie鈥揜ockaway Parkway,NYC Subway,New York City Transit Authority,station,station,138,Canarsie鈥揜ockaway Pkwy,,subway,yes,yes,Q2244828,,en:Canarsie鈥揜ockaway Parkway station,node/597937417,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43872.482173514712000,0.000900282938620,39,2817,Brooklyn,Canarsie,Boro Zone,39,3538,Brooklyn,Canarsie,Boro Zone
40,1,39,40,0.051850664876200,Carroll Gardens,40,Brooklyn,node/5407886421,,-2,Carroll Street,NYC Subway,New York City Transit Authority,station,station,237,Carroll St,,subway,yes,no,Q629885,,en:Carroll Street station,node/5407886421,,,,,,F21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16689.277804594341000,0.000108949211644,40,1459,Brooklyn,Carroll Gardens,Boro Zone,40,3875,Brooklyn,Carroll Gardens,Boro Zone
41,5,40,41,0.052793109453000,Central Harlem,41,Manhattan,node/1740704823,wlan,-1,125th Street,NYC Subway,New York City Transit Authority,station,station,439,125 St,1904-11-23,subway,yes,no,Q729394,Category:125th Street (IRT Lenox Avenue Line),en:125th Street station (IRT Lenox Avenue Line),node/1740704823,,,,,24/7,,,no in-station transfer between platforms,,no,,125氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16603.223460036646000,0.000143093037737,41,16451,Manhattan,Central Harlem,Boro Zone,41,24863,Manhattan,Central Harlem,Boro Zone
42,4,41,42,0.092709227461600,Central Harlem North,42,Manhattan,node/592003200,,-1,Harlem鈥?48th Street,NYC Subway,New York City Transit Authority,station,station,436,Harlem鈥?48 St,,subway,yes,no,Q667049,,en:Harlem鈥?48th Street station,node/592003200,,,,,24/7,,,,,,,頃犽牁-148氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28103.648668272268000,0.000263896952605,42,12045,Manhattan,Central Harlem North,Boro Zone,42,19279,Manhattan,Central Harlem North,Boro Zone
43,1,42,43,0.099738618357600,Central Park,43,Manhattan,node/591998702,,-2,5th Avenue鈥?9th Street,NYC Subway,New York City Transit Authority,station,station,8,5 Av鈥?9 St,,subway,yes,no,Q2159540,,en:Fifth Avenue鈥?9th Street station,node/591998702,Q7733,Q1146109,City of New York,Q60,24/7,,,,,,,5氩?鞎犽箘雺?59氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32721.121889248898000,0.000379662912054,43,57295,Manhattan,Central Park,Yellow Zone,43,42681,Manhattan,Central Park,Yellow Zone
44,4,43,44,0.235688967594000,Charleston/Tottenville,44,Staten Island,node/42970021,,,Pleasant Plains,Staten Island Railway,Staten Island Rapid Transit Operating Authority,station,station,PPS,,,subway,yes,no,Q7203919,,en:Pleasant Plains station,node/42970021,Q1273068,Q1146109,City of New York,Q60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85090.137477331984000,0.001944656491920,44,1,Staten Island,Charleston/Tottenville,Boro Zone,44,19,Staten Island,Charleston/Tottenville,Boro Zone
45,2,44,45,0.045906862623500,Chinatown,45,Manhattan,node/2052618392,,-2,Chambers Street,NYC Subway,New York City Transit Authority,station,station,105,Chambers St,,subway,yes,no,Q2612593,,en:Brooklyn Bridge鈥揅ity Hall/Chambers Street station,node/2052618392,,,,,24/7,,,,,,,毂旊矂鞀?鞀ろ姼毽姼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12771.842987820753000,0.000091359468856,45,8723,Manhattan,Chinatown,Yellow Zone,45,12838,Manhattan,Chinatown,Yellow Zone
