Observation Time,X,Y,Z
2025-2-24 3:50:0,-57176.69593849033,1040875.4162431436,-314944.07168174535
2025-2-24 3:51:0,-57177.113247854635,1040875.1999722498,-314944.34569940716
2025-2-24 3:51:0,-57176.805376297794,1040875.238673486,-314944.35836484283
2025-2-24 3:52:0,-57176.44537801575,1040875.954134159,-314943.96417380124
2025-2-24 3:52:0,-57176.76790310349,1040876.2597399282,-314944.222116597
2025-2-24 3:53:0,-57176.98303248081,1040875.2873704063,-314944.2287060544
2025-2-24 3:53:0,-57177.08216996491,1040875.6428957807,-314944.610397391
2025-2-24 3:54:0,-57176.56842053775,1040876.5913811403,-314944.3841120824
2025-2-24 3:54:0,-57176.62643417716,1040876.2938676851,-314944.52499688417
2025-2-24 3:55:0,-57176.96956749726,1040875.5697174298,-314944.7460352853
2025-2-24 3:55:0,-57176.8003356196,1040875.9294035512,-314944.7061889842
2025-2-24 3:56:0,-57176.929571948946,1040874.9724714386,-314944.6023803279
2025-2-24 3:56:0,-57177.36334258504,1040874.8327566909,-314944.9396247938
2025-2-24 3:57:0,-6172239.808071057,-5758271.396957524,-4672190.411114745
2025-2-24 3:57:0,-9228750.105769243,-9156708.554433487,-6850085.756770976
2025-2-24 3:58:0,-10756013.43535288,-10854824.08219321,-7938327.125166126
2025-2-24 3:58:0,-11518680.969584517,-11702811.335598074,-8481760.409276389
2025-2-24 3:59:0,-11899078.223710332,-12125763.139565818,-8752809.74048192
2025-2-24 3:59:0,-12088368.474418368,-12336229.053511053,-8887687.123024128
2025-2-24 4:0:0,-12182131.810234405,-12440482.803643622,-8954497.391656525
2025-2-24 4:0:0,-12228161.472416714,-12491660.534662127,-8987295.611247934
2025-2-24 4:1:0,-12250350.629003089,-12516332.147508532,-9003106.23588001
2025-2-24 4:1:0,-12260649.144098908,-12527783.173703939,-9010444.498288818
2025-2-24 4:2:0,-12054874.804538224,-11110516.775083281,-8439615.296354257
2025-2-24 4:2:0,-11239745.570039079,-5586278.42385865,-6210507.896313772
2025-2-24 4:3:0,-10831576.761389557,-2824100.8497912805,-5095742.607185118
2025-2-24 4:3:0,-10626911.46870926,-1442955.988979153,-4538156.117136799
2025-2-24 4:4:0,-10524022.109814763,-752330.600039996,-4259167.886719875
2025-2-24 4:4:0,-10472045.973450772,-406966.3673487974,-4119487.565329209
2025-2-24 4:5:0,-337517.6738358168,741690.9957676309,-510231.3482494131
2025-2-24 4:5:0,-258030.27654732298,834452.0719630944,-452028.8068762198
2025-2-24 4:6:0,-218286.7265864266,880832.8156815844,-422928.24837803096
2025-2-24 4:6:0,-198414.8599934308,904022.6686508732,-408377.74009814113
2025-2-24 4:7:0,-188479.30593648087,915618.2422263997,-401102.9383498803
2025-2-24 4:7:0,-183511.0281957565,921415.4157295155,-397464.9262660518
2025-2-24 4:8:0,-181027.01534863096,924314.6538502353,-395646.45442225784
2025-2-24 4:8:0,-179785.07464711647,925764.0228648859,-394737.1584427282
2025-2-24 4:9:0,-179164.06943992805,926488.3732206153,-394282.2725475058
2025-2-24 4:9:0,-178853.64666570257,926849.8437883335,-394054.3592038527
2025-2-24 4:10:0,-178698.56102089118,927031.8173431682,-393941.2812275961
2025-2-24 4:10:0,-178620.66629380267,927122.6766380894,-393884.3671512827
2025-2-24 4:11:0,-178581.81241748016,927168.1992676335,-393856.0555110499
2025-2-24 4:11:0,-178562.23310598265,927190.0945665317,-393841.427277036
2025-2-24 4:12:0,-178553.18340383004,927201.3583329248,-393835.00094599277
2025-2-24 4:12:0,-178547.83560727816,927206.7998202222,-393830.6224379465
2025-2-24 4:13:0,-178545.44816495012,927209.319074251,-393828.73951303214
2025-2-24 4:13:0,-178543.9284979282,927210.9600319492,-393827.7746049389
2025-2-24 4:14:0,-178543.45876576286,927211.9245232868,-393827.6341604963
2025-2-24 4:14:0,-178543.21204594802,927212.4368279206,-393827.3327079341
2025-2-24 4:15:0,-178543.29284269642,927213.3845304626,-393827.737511836
2025-2-24 4:15:0,-178542.72132665943,927213.0178867059,-393827.6040605828
2025-2-24 4:16:0,-178542.64395151567,927212.887105711,-393827.1541422978
2025-2-24 4:16:0,-178542.87923250627,927213.2874671596,-393827.35067055374
2025-2-24 4:17:0,-178543.31692625862,927213.3203615176,-393827.60480008274
2025-2-24 4:17:0,-178542.8722006036,927213.2776948141,-393827.47850137204
2025-2-24 4:18:0,-178543.03584552836,927212.8602639514,-393827.1993602589
2025-2-24 4:18:0,-178543.27797840815,927213.0867605882,-393827.65261176974
2025-2-24 4:19:0,-178542.88116582762,927213.0100658613,-393827.48250160366
2025-2-24 4:19:0,-178543.21928812843,927213.1659380572,-393827.4719329998
2025-2-24 4:20:0,-178543.00249595474,927212.117528342,-393827.1832416877
2025-2-24 4:20:0,-178543.05430031102,927212.2428910362,-393827.1538149938
2025-2-24 4:21:0,-178543.22947933804,927212.8838532942,-393827.29321035
2025-2-24 4:21:0,-178543.30014262628,927212.7321949976,-393827.3322115913
