#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 03 16 00 999 99.0 99.0  0.76  6.25  4.04  87 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 03 16 30 999 99.0 99.0  0.77  5.00  4.12 105 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 03 17 00 999 99.0 99.0  0.81  6.25  3.97  90 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 03 17 30 999 99.0 99.0  0.80  5.26  3.87 102 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 18 00 999 99.0 99.0  0.84  5.56  3.77 102 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 18 30 999 99.0 99.0  0.84  5.88  3.76  94 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 03 19 00 999 99.0 99.0  0.79  5.56  4.02  99 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 03 19 30 999 99.0 99.0  0.79  4.55  4.00 115 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 03 20 00 999 99.0 99.0  0.75  5.88  4.02  94 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 03 21 00 999 99.0 99.0  0.70  5.56  4.36 108 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 21 30 999 99.0 99.0  0.71  5.00  4.37 109 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 22 00 999 99.0 99.0  0.66  4.35  4.44 119 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 22 30 999 99.0 99.0  0.67  7.14  4.40  67 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 23 00 999 99.0 99.0  0.65  6.25  4.31  80 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 23 30 999 99.0 99.0  0.61  6.25  4.40  71 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 04 00 00 999 99.0 99.0  0.65  4.35  4.34 125 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 04 00 30 999 99.0 99.0  0.65  4.76  4.29 114 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 01 00 999 99.0 99.0  0.64  4.35  4.21 116 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 04 01 30 999 99.0 99.0  0.59  5.00  4.22 109 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 02 00 999 99.0 99.0  0.60  3.85  4.19 125 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 02 30 999 99.0 99.0  0.60 10.53  4.09  69 9999.0 999.0  25.1 999.0 99.0 99.00
2017 01 04 03 00 999 99.0 99.0  0.57 10.53  3.67  66 9999.0 999.0  25.2 999.0 99.0 99.00
2017 01 04 03 30 999 99.0 99.0  0.57 11.11  3.58  63 9999.0 999.0  25.2 999.0 99.0 99.00
2017 01 04 04 00 999 99.0 99.0  0.55  9.09  3.52  64 9999.0 999.0  25.2 999.0 99.0 99.00
2017 01 04 04 30 999 99.0 99.0  0.57  9.09  3.52  76 9999.0 999.0  25.2 999.0 99.0 99.00
2017 01 04 05 00 999 99.0 99.0  0.58  9.09  3.53  71 9999.0 999.0  25.2 999.0 99.0 99.00
2017 01 04 05 30 999 99.0 99.0  0.55  9.09  3.53  84 9999.0 999.0  25.2 999.0 99.0 99.00
2017 01 04 06 00 999 99.0 99.0  0.56  8.33  3.60  73 9999.0 999.0  25.2 999.0 99.0 99.00
2017 01 04 06 30 999 99.0 99.0  0.56 10.53  3.41  64 9999.0 999.0  25.1 999.0 99.0 99.00
